Brazil,Rest_of_World,ALL_ETHNICITIES
China,Rest_of_World,ALL_ETHNICITIES
France,Europe,ALL_ETHNICITIES
Germany,Europe,ALL_ETHNICITIES
Greece,Europe,ALL_ETHNICITIES
India,Rest_of_World,ALL_ETHNICITIES
Ireland,Europe,ALL_ETHNICITIES
Italy,Europe,ALL_ETHNICITIES
Japan,Rest_of_World,ALL_ETHNICITIES
Mexico,Rest_of_World,ALL_ETHNICITIES
Netherlands,Europe,ALL_ETHNICITIES
Poland,Europe,ALL_ETHNICITIES
Portugal,Europe,ALL_ETHNICITIES
Spain,Europe,ALL_ETHNICITIES
Sweden,Europe,ALL_ETHNICITIES
United Kingdom,Europe,ALL_ETHNICITIES
