10083,1008*,100**,10***,1****,*****
10135,1013*,101**,10***,1****,*****
10182,1018*,101**,10***,1****,*****
10212,1021*,102**,10***,1****,*****
10317,1031*,103**,10***,1****,*****
10355,1035*,103**,10***,1****,*****
10366,1036*,103**,10***,1****,*****
10368,1036*,103**,10***,1****,*****
10488,1048*,104**,10***,1****,*****
10554,1055*,105**,10***,1****,*****
10607,1060*,106**,10***,1****,*****
10800,1080*,108**,10***,1****,*****
10833,1083*,108**,10***,1****,*****
11000,1100*,110**,11***,1****,*****
11010,1101*,110**,11***,1****,*****
11047,1104*,110**,11***,1****,*****
11107,1110*,111**,11***,1****,*****
11175,1117*,111**,11***,1****,*****
11185,1118*,111**,11***,1****,*****
11235,1123*,112**,11***,1****,*****
11251,1125*,112**,11***,1****,*****
11280,1128*,112**,11***,1****,*****
11350,1135*,113**,11***,1****,*****
11363,1136*,113**,11***,1****,*****
11365,1136*,113**,11***,1****,*****
11555,1155*,115**,11***,1****,*****
11627,1162*,116**,11***,1****,*****
11662,1166*,116**,11***,1****,*****
11718,1171*,117**,11***,1****,*****
11754,1175*,117**,11***,1****,*****
11842,1184*,118**,11***,1****,*****
11949,1194*,119**,11***,1****,*****
11959,1195*,119**,11***,1****,*****
12022,1202*,120**,12***,1****,*****
12164,1216*,121**,12***,1****,*****
12187,1218*,121**,12***,1****,*****
12230,1223*,122**,12***,1****,*****
12326,1232*,123**,12***,1****,*****
12327,1232*,123**,12***,1****,*****
12417,1241*,124**,12***,1****,*****
12464,1246*,124**,12***,1****,*****
12490,1249*,124**,12***,1****,*****
12550,1255*,125**,12***,1****,*****
12709,1270*,127**,12***,1****,*****
12835,1283*,128**,12***,1****,*****
12928,1292*,129**,12***,1****,*****
12935,1293*,129**,12***,1****,*****
12958,1295*,129**,12***,1****,*****
13045,1304*,130**,13***,1****,*****
13072,1307*,130**,13***,1****,*****
13141,1314*,131**,13***,1****,*****
13227,1322*,132**,13***,1****,*****
13310,1331*,133**,13***,1****,*****
13403,1340*,134**,13***,1****,*****
13451,1345*,134**,13***,1****,*****
13573,1357*,135**,13***,1****,*****
13642,1364*,136**,13***,1****,*****
13658,1365*,136**,13***,1****,*****
13665,1366*,136**,13***,1****,*****
13803,1380*,138**,13***,1****,*****
13930,1393*,139**,13***,1****,*****
14067,1406*,140**,14***,1****,*****
14110,1411*,141**,14***,1****,*****
14210,1421*,142**,14***,1****,*****
14212,1421*,142**,14***,1****,*****
14369,1436*,143**,14***,1****,*****
14482,1448*,144**,14***,1****,*****
14584,1458*,145**,14***,1****,*****
14692,1469*,146**,14***,1****,*****
14781,1478*,147**,14***,1****,*****
14831,1483*,148**,14***,1****,*****
14941,1494*,149**,14***,1****,*****
14953,1495*,149**,14***,1****,*****
14984,1498*,149**,14***,1****,*****
15043,1504*,150**,15***,1****,*****
15078,1507*,150**,15***,1****,*****
15162,1516*,151**,15***,1****,*****
15244,1524*,152**,15***,1****,*****
15295,1529*,152**,15***,1****,*****
15296,1529*,152**,15***,1****,*****
15519,1551*,155**,15***,1****,*****
16141,1614*,161**,16***,1****,*****
16241,1624*,162**,16***,1****,*****
16282,1628*,162**,16***,1****,*****
16314,1631*,163**,16***,1****,*****
16356,1635*,163**,16***,1****,*****
16428,1642*,164**,16***,1****,*****
16493,1649*,164**,16***,1****,*****
16506,1650*,165**,16***,1****,*****
16775,1677*,167**,16***,1****,*****
16863,1686*,168**,16***,1****,*****
16966,1696*,169**,16***,1****,*****
17008,1700*,170**,17***,1****,*****
17087,1708*,170**,17***,1****,*****
17131,1713*,171**,17***,1****,*****
17377,1737*,173**,17***,1****,*****
17420,1742*,174**,17***,1****,*****
17696,1769*,176**,17***,1****,*****
17772,1777*,177**,17***,1****,*****
17777,1777*,177**,17***,1****,*****
17851,1785*,178**,17***,1****,*****
17919,1791*,179**,17***,1****,*****
18047,1804*,180**,18***,1****,*****
18209,1820*,182**,18***,1****,*****
18226,1822*,182**,18***,1****,*****
18366,1836*,183**,18***,1****,*****
18443,1844*,184**,18***,1****,*****
18461,1846*,184**,18***,1****,*****
18539,1853*,185**,18***,1****,*****
18620,1862*,186**,18***,1****,*****
18643,1864*,186**,18***,1****,*****
18671,1867*,186**,18***,1****,*****
18883,1888*,188**,18***,1****,*****
18990,1899*,189**,18***,1****,*****
19013,1901*,190**,19***,1****,*****
19062,1906*,190**,19***,1****,*****
19138,1913*,191**,19***,1****,*****
19149,1914*,191**,19***,1****,*****
19186,1918*,191**,19***,1****,*****
19294,1929*,192**,19***,1****,*****
19347,1934*,193**,19***,1****,*****
19356,1935*,193**,19***,1****,*****
19392,1939*,193**,19***,1****,*****
19417,1941*,194**,19***,1****,*****
19429,1942*,194**,19***,1****,*****
19574,1957*,195**,19***,1****,*****
19862,1986*,198**,19***,1****,*****
20073,2007*,200**,20***,2****,*****
20097,2009*,200**,20***,2****,*****
20103,2010*,201**,20***,2****,*****
20286,2028*,202**,20***,2****,*****
20561,2056*,205**,20***,2****,*****
20587,2058*,205**,20***,2****,*****
20606,2060*,206**,20***,2****,*****
20711,2071*,207**,20***,2****,*****
20874,2087*,208**,20***,2****,*****
20906,2090*,209**,20***,2****,*****
21203,2120*,212**,21***,2****,*****
21230,2123*,212**,21***,2****,*****
21294,2129*,212**,21***,2****,*****
21299,2129*,212**,21***,2****,*****
21333,2133*,213**,21***,2****,*****
21454,2145*,214**,21***,2****,*****
21463,2146*,214**,21***,2****,*****
21491,2149*,214**,21***,2****,*****
21518,2151*,215**,21***,2****,*****
21557,2155*,215**,21***,2****,*****
21562,2156*,215**,21***,2****,*****
21645,2164*,216**,21***,2****,*****
21708,2170*,217**,21***,2****,*****
